wknbr,s1,m1,b1,s2,m2,b2,s3,m3,b3,s4,m4,b4,s5,m5,b5,s6,m6,b6,s7,m7,b7,s8,m8,b8,s9,m9,b9,s10,m10,b10,s11,m11,b11,s12,m12,b12,s13,m13,b13,s14,m14,b14,s15,m15,b15,s16,m16,b16,s17,m17,b17,s18,m18,b18,s19,m19,b19,s20,m20,b20,s21,m21,b21,s22,m22,b22,s23,m23,b23,s24,m24,b24,s25,m25,b25,s26,m26,b26,s27,m27,b27,s28,m28,b28,s29,m29,b29,s30,m30,b30,s31,m31,b31,s32,m32,b32,s33,m33,b33,s34,m34,b34,s35,m35,b35,s36,m36,b36,s37,m37,b37,s38,m38,b38,s39,m39,b39,s40,m40,b40,s41,m41,b41,s42,m42,b42,s43,m43,b43,s44,m44,b44,s45,m45,b45,s46,m46,b46,s47,m47,b47,s48,m48,b48,s49,m49,b49,s50,m50,b50,s51,m51,b51,s52,m52,b52,s53,m53,b53,s54,m54,b54,s55,m55,b55
201514,3400.0,352.0,0.0,7353.0,4055.0,0.0,176429.0,70386.0,0.0,22470.0,11636.0,0.0,24422.0,12400.0,0.0,3474.0,695.0,0.0,66.0,47.0,0.0,0,0,0,454209.0,136589.0,0.0,77454.0,62185.0,0.0,0,0,0,0,0,0,20175.0,9780.0,0.0,213326.0,93234.0,0.0,0,0,0,74139.0,19362.0,0.0,3714.0,1442.0,0.0,0,0,0,159040.0,54549.0,0.0,101240.0,44922.0,0.0,25826.0,14606.0,0.0,11350.0,4482.0,0.0,82681.0,45836.0,0.0,6196.0,0.0,0.0,60104.0,34564.0,0.0,4979.0,1685.0,0.0,2920.0,1372.0,0.0,39489.0,12692.0,0.0,2457.0,612.0,0.0,0,0,0,74955.0,43286.0,0.0,0,0,0,25748.0,25748.0,0.0,9252.0,3504.0,0.0,182462.0,36976.0,0.0,0,0,0,0,0,0,23826.0,11971.0,0.0,1479.0,729.0,0.0,15098.0,13166.0,0.0,48.0,38.0,0.0,119.0,93.0,0.0,0,0,0,0,0,0,85.0,62.0,0.0,0,0,0,50048.0,26947.0,0.0,3846.0,2596.0,0.0,52114.0,25740.0,0.0,16128.0,9702.0,0.0,0,0,0,0,0,0,31646.0,6081.0,0.0,72261.0,42419.0,0.0,38301.0,23339.0,0.0
201515,2855.0,280.0,0.0,4143.0,2449.0,0.0,184188.0,58335.0,0.0,21115.0,10397.0,0.0,9185.0,4704.0,0.0,2113.0,423.0,0.0,0,0,0,0,0,0,610212.0,156459.0,0.0,65520.0,52562.0,0.0,0,0,0,0,0,0,23021.0,10787.0,0.0,165972.0,72400.0,0.0,0,0,0,52704.0,17162.0,0.0,4136.0,1139.0,0.0,0,0,0,137970.0,45526.0,0.0,82645.0,36495.0,0.0,15409.0,9114.0,0.0,4426.0,2138.0,0.0,61418.0,33733.0,0.0,2277.0,0.0,0.0,38924.0,23088.0,0.0,5390.0,1857.0,0.0,15958.0,4347.0,0.0,19938.0,7301.0,0.0,233.0,58.0,0.0,0,0,0,51268.0,28897.0,0.0,0,0,0,16811.0,16811.0,0.0,4658.0,1955.0,0.0,97319.0,19809.0,0.0,0,0,0,0,0,0,18437.0,9393.0,0.0,892.0,423.0,0.0,10607.0,9247.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,14.0,11.0,0.0,0,0,0,34684.0,18099.0,0.0,2429.0,1637.0,0.0,41115.0,21353.0,0.0,34446.0,17977.0,0.0,0,0,0,0,0,0,32818.0,6127.0,0.0,45589.0,26979.0,0.0,20279.0,12111.0,0.0
201518,4435.0,451.0,0.0,6759.0,4527.0,0.0,161780.0,64777.0,0.0,20007.0,10335.0,0.0,11023.0,5629.0,0.0,2319.0,464.0,0.0,0,0,0,0,0,0,476833.0,140184.0,0.0,78885.0,64474.0,0.0,0,0,0,0,0,0,20391.0,9211.0,0.0,218887.0,93702.0,0.0,0,0,0,60379.0,13861.0,0.0,3571.0,999.0,0.0,0,0,0,159730.0,49798.0,0.0,91957.0,39035.0,0.0,26100.0,13358.0,0.0,6255.0,3419.0,0.0,76889.0,42499.0,0.0,3636.0,0.0,0.0,58455.0,32506.0,0.0,3976.0,1287.0,0.0,9263.0,1710.0,0.0,36668.0,12817.0,0.0,330.0,82.0,0.0,-79.0,-79.0,0.0,76493.0,42780.0,0.0,0,0,0,21620.0,21620.0,0.0,6588.0,2344.0,0.0,175661.0,35621.0,0.0,0,0,0,0,0,0,26457.0,13100.0,0.0,3229.0,1307.0,0.0,14368.0,12547.0,0.0,77.0,52.0,0.0,19.0,16.0,0.0,0,0,0,0,0,0,14.0,11.0,0.0,0,0,0,50412.0,26720.0,0.0,2641.0,1787.0,0.0,73293.0,33727.0,0.0,13767.0,8197.0,0.0,0,0,0,0,0,0,36321.0,7124.0,0.0,74240.0,41235.0,0.0,31526.0,18607.0,0.0
201520,4930.0,507.0,0.0,6338.0,4396.0,0.0,160357.0,64557.0,0.0,22454.0,11946.0,0.0,14817.0,7549.0,0.0,2694.0,539.0,0.0,0,0,0,0,0,0,520641.0,157660.0,0.0,78083.0,63826.0,0.0,0,0,0,0,0,0,42092.0,15361.0,0.0,220032.0,96188.0,0.0,0,0,0,66505.0,14653.0,0.0,5258.0,1319.0,0.0,0,0,0,151071.0,47507.0,0.0,81663.0,38467.0,0.0,24658.0,14686.0,0.0,6370.0,3235.0,0.0,74528.0,41935.0,0.0,4441.0,0.0,0.0,58429.0,34239.0,0.0,4214.0,1290.0,0.0,9632.0,2304.0,0.0,50297.0,16080.0,0.0,3240.0,806.0,0.0,65.0,47.0,0.0,99527.0,52523.0,0.0,0,0,0,18452.0,18452.0,0.0,17794.0,5147.0,0.0,94958.0,19495.0,0.0,0,0,0,0,0,0,30437.0,15742.0,0.0,853.0,390.0,0.0,15743.0,13729.0,0.0,0,0,0,46.0,38.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,58677.0,29458.0,0.0,3436.0,2319.0,0.0,87004.0,38240.0,0.0,13249.0,7964.0,0.0,0,0,0,0,0,0,37397.0,7442.0,0.0,68816.0,39211.0,0.0,27724.0,15933.0,0.0
201521,4700.0,482.0,0.0,4755.0,3287.0,0.0,157614.0,62796.0,0.0,21646.0,10838.0,0.0,8687.0,4484.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,510338.0,151795.0,0.0,74988.0,61248.0,0.0,0,0,0,0,0,0,29690.0,11474.0,0.0,208556.0,91630.0,0.0,0,0,0,56119.0,10062.0,0.0,3678.0,773.0,0.0,0,0,0,143819.0,45330.0,0.0,71342.0,33037.0,0.0,23296.0,13739.0,0.0,4046.0,2175.0,0.0,77526.0,43613.0,0.0,2261.0,0.0,0.0,48105.0,26023.0,0.0,6303.0,2047.0,0.0,5266.0,1855.0,0.0,32582.0,10526.0,0.0,2510.0,624.0,0.0,202.0,157.0,0.0,81305.0,44769.0,0.0,0,0,0,17734.0,17734.0,0.0,13320.0,4208.0,0.0,139559.0,28237.0,0.0,0,0,0,0,0,0,28950.0,14839.0,0.0,912.0,394.0,0.0,14928.0,13003.0,0.0,0,0,0,28.0,23.0,0.0,0,0,0,0,0,0,-20.0,-7.0,0.0,0,0,0,52855.0,23304.0,0.0,3066.0,2064.0,0.0,62944.0,30075.0,0.0,14456.0,8705.0,0.0,0,0,0,0,0,0,37579.0,7671.0,0.0,74284.0,40246.0,0.0,30802.0,9508.0,0.0
201522,7310.0,722.0,0.0,5122.0,3468.0,0.0,168356.0,66354.0,0.0,23033.0,12156.0,0.0,8862.0,4589.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,545921.0,157968.0,0.0,74604.0,60792.0,0.0,0,0,0,0,0,0,25728.0,11498.0,0.0,220418.0,97127.0,0.0,0,0,0,68045.0,14118.0,0.0,3140.0,1112.0,0.0,0,0,0,187332.0,54450.0,0.0,103786.0,43592.0,0.0,22109.0,13050.0,0.0,5961.0,3349.0,0.0,75941.0,42664.0,0.0,1274.0,0.0,0.0,48232.0,25007.0,0.0,5111.0,1634.0,0.0,5211.0,2194.0,0.0,37980.0,11491.0,0.0,639.0,160.0,0.0,82.0,53.0,0.0,75131.0,41546.0,0.0,0,0,0,28287.0,28287.0,0.0,8322.0,3161.0,0.0,124455.0,25370.0,0.0,0,0,0,0,0,0,25755.0,13204.0,0.0,489.0,227.0,0.0,15085.0,13151.0,0.0,96.0,79.0,0.0,0,0,0,0,0,0,0,0,0,18.0,7.0,0.0,0,0,0,57666.0,26801.0,0.0,3315.0,2235.0,0.0,71941.0,33329.0,0.0,25692.0,14257.0,0.0,0,0,0,0,0,0,37286.0,7558.0,0.0,72771.0,40679.0,0.0,32146.0,15506.0,0.0
201523,4540.0,452.0,0.0,4663.0,3035.0,0.0,139479.0,55380.0,0.0,19824.0,9820.0,0.0,9361.0,4846.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,473086.0,138776.0,0.0,71105.0,57745.0,0.0,0,0,0,0,0,0,18873.0,8018.0,0.0,204101.0,89259.0,0.0,0,0,0,58226.0,11448.0,0.0,4012.0,1302.0,0.0,0,0,0,136981.0,44487.0,0.0,79495.0,34109.0,0.0,18332.0,11162.0,0.0,4629.0,2420.0,0.0,70558.0,37761.0,0.0,2564.0,0.0,0.0,48698.0,26208.0,0.0,6188.0,1915.0,0.0,3232.0,487.0,0.0,28726.0,8784.0,0.0,693.0,199.0,0.0,40.0,30.0,0.0,64001.0,35400.0,0.0,0,0,0,21420.0,21420.0,0.0,7302.0,2505.0,0.0,110403.0,22456.0,0.0,0,0,0,0,0,0,25851.0,13309.0,0.0,388.0,172.0,0.0,13771.0,11994.0,0.0,48.0,39.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51216.0,20995.0,0.0,2747.0,1847.0,0.0,58073.0,27357.0,0.0,16889.0,10089.0,0.0,0,0,0,0,0,0,32943.0,6686.0,0.0,60592.0,33727.0,0.0,25058.0,12643.0,0.0
201524,4480.0,440.0,0.0,5199.0,3470.0,0.0,155945.0,62717.0,0.0,24397.0,12364.0,0.0,10757.0,5575.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,546402.0,163951.0,0.0,75003.0,60824.0,0.0,0,0,0,0,0,0,22658.0,10462.0,0.0,220992.0,96984.0,0.0,0,0,0,51983.0,14581.0,0.0,3528.0,1100.0,0.0,0,0,0,159589.0,49357.0,0.0,119545.0,47706.0,0.0,21502.0,12525.0,0.0,2856.0,1514.0,0.0,72234.0,38357.0,0.0,3467.0,0.0,0.0,52568.0,27581.0,0.0,5161.0,1637.0,0.0,3835.0,1301.0,0.0,40352.0,11537.0,0.0,1015.0,392.0,0.0,0,0,0,73010.0,36475.0,0.0,0,0,0,21496.0,21496.0,0.0,8989.0,2849.0,0.0,98854.0,20250.0,0.0,0,0,0,0,0,0,29050.0,14853.0,0.0,646.0,297.0,0.0,14826.0,12906.0,0.0,36.0,26.0,0.0,0,0,0,0,0,0,0,0,0,72.0,56.0,0.0,0,0,0,57391.0,25390.0,0.0,2249.0,1517.0,0.0,81507.0,34835.0,0.0,18248.0,11005.0,0.0,0,0,0,0,0,0,41761.0,7168.0,0.0,75626.0,42272.0,0.0,33560.0,15440.0,0.0
201527,5305.0,535.0,0.0,7695.0,4587.0,0.0,174700.0,71601.0,0.0,22234.0,10838.0,0.0,11700.0,6058.0,0.0,0,0,0,0,0,0,10.0,2.0,0.0,558793.0,164581.0,0.0,85637.0,69450.0,0.0,0,0,0,0,0,0,23340.0,9426.0,0.0,228495.0,99336.0,0.0,0,0,0,57393.0,19600.0,0.0,4120.0,1040.0,0.0,0,0,0,167783.0,52737.0,0.0,90170.0,40585.0,0.0,29073.0,15813.0,0.0,6255.0,2723.0,0.0,97878.0,51122.0,0.0,18240.0,0.0,0.0,68479.0,36085.0,0.0,5808.0,1863.0,0.0,4566.0,1396.0,0.0,20194.0,7126.0,0.0,2346.0,884.0,0.0,212.0,158.0,0.0,90245.0,42773.0,0.0,0,0,0,30348.0,30348.0,0.0,4143.0,1346.0,0.0,120177.0,24474.0,0.0,0,0,0,0,0,0,41941.0,21040.0,0.0,1392.0,447.0,0.0,17058.0,14896.0,0.0,31.0,23.0,0.0,258.0,194.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52368.0,23102.0,0.0,2418.0,1633.0,0.0,70479.0,38199.0,0.0,114573.0,54256.0,0.0,0,0,0,0,0,0,44347.0,7681.0,0.0,74177.0,39035.0,0.0,41251.0,13348.0,0.0
201528,2970.0,288.0,0.0,6839.0,4237.0,0.0,169139.0,69626.0,0.0,22034.0,10147.0,0.0,11002.0,5680.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,508776.0,149414.0,0.0,84579.0,68668.0,0.0,0,0,0,0,0,0,25845.0,10846.0,0.0,210819.0,92524.0,0.0,0,0,0,51954.0,16397.0,0.0,4666.0,-2925.0,0.0,0,0,0,157298.0,49622.0,0.0,122184.0,48545.0,0.0,29416.0,14471.0,0.0,3956.0,1618.0,0.0,87204.0,46245.0,0.0,4573.0,0.0,0.0,63549.0,35214.0,0.0,5589.0,1704.0,0.0,7801.0,1887.0,0.0,47682.0,13924.0,0.0,1556.0,553.0,0.0,113.0,72.0,0.0,82588.0,40239.0,0.0,0,0,0,23665.0,23665.0,0.0,5161.0,1307.0,0.0,98076.0,19989.0,0.0,0,0,0,0,0,0,33742.0,16796.0,0.0,661.0,209.0,0.0,16720.0,14614.0,0.0,90.0,65.0,0.0,330.0,231.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,57695.0,20176.0,0.0,2859.0,1929.0,0.0,71583.0,36004.0,0.0,115420.0,46532.0,0.0,0,0,0,0,0,0,34987.0,6394.0,0.0,64195.0,34453.0,0.0,32316.0,11487.0,0.0
